,time [yr],macc [MSun],mdon [MSun],a [AU],L [kg m2 s-1],v
0,0.0,1.0,1.2,1.3,0.0,0.0
1,0.999231495697,1.00000099923,1.2,1.3,5.56590568437e+38,9.20997478557e-07
2,1.99846299139,1.00000199846,1.2,1.3,1.11318113687e+39,1.84199219625e-06
3,2.99769448709,1.00000299769,1.2,1.3,1.66977170531e+39,2.76298415309e-06
4,3.99692598279,1.00000399693,1.2,1.3,2.22636227375e+39,3.68397334909e-06
5,4.99615747848,1.00000499616,1.2,1.3,2.78295284218e+39,4.60495978426e-06
6,5.99538897418,1.00000599539,1.2,1.3,3.33954341062e+39,5.52594345861e-06
7,6.99462046988,1.00000699462,1.2,1.3,3.89613397906e+39,6.44692437214e-06
8,7.99385196557,1.00000799385,1.2,1.3,4.45272454749e+39,7.36790252488e-06
9,8.99308346127,1.00000899308,1.2,1.3,5.00931511593e+39,8.28887791682e-06
10,9.99231495697,1.00000999231,1.2,1.3,5.56590568437e+39,9.20985054798e-06
11,10.9915464527,1.00001099155,1.2,1.23628,6.12249625281e+39,1.01308204184e-05
12,11.9182191153,1.00001191822,1.2,1.23628,6.62586379671e+39,1.09637213589e-05
13,12.8448917779,1.0000128449,1.2,1.23628,7.12923134061e+39,1.1796619984e-05
14,13.7715644404,1.00001377158,1.2,1.23628,7.63259888452e+39,1.26295162937e-05
15,14.698237103,1.00001469825,1.2,1.23628,8.13596642842e+39,1.34624102878e-05
16,15.6249097656,1.00001562493,1.2,1.23628,8.63933397233e+39,1.42953019666e-05
17,16.5515824282,1.00001655161,1.2,1.23628,9.14270151623e+39,1.51281913299e-05
18,17.4782550908,1.00001747828,1.2,1.23628,9.64606906014e+39,1.59610783778e-05
19,18.4049277534,1.00001840496,1.2,1.23628,1.0149436604e+40,1.67939631103e-05
20,19.331600416,1.00001933164,1.2,1.23628,1.06528041479e+40,1.76268455273e-05
21,20.2582730786,1.00002025831,1.2,1.17569,1.11561716919e+40,1.8459725629e-05
22,21.1176631312,1.0000211177,1.2,1.17569,1.16114062693e+40,1.92129615353e-05
23,21.9770531838,1.00002197709,1.2,1.17569,1.20666408467e+40,1.99661954996e-05
24,22.8364432364,1.00002283648,1.2,1.17569,1.25218754242e+40,2.0719427522e-05
25,23.695833289,1.00002369588,1.2,1.17569,1.29771100016e+40,2.14726576025e-05
26,24.5552233416,1.00002455527,1.2,1.17569,1.3432344579e+40,2.22258857411e-05
27,25.4146133942,1.00002541466,1.2,1.17569,1.38875791565e+40,2.29791119377e-05
28,26.2740034468,1.00002627405,1.2,1.17569,1.43428137339e+40,2.37323361925e-05
29,27.1333934994,1.00002713344,1.2,1.17569,1.47980483113e+40,2.44855585053e-05
30,27.992783552,1.00002799283,1.2,1.11807,1.52532828888e+40,2.52387788763e-05
31,28.7897766824,1.00002878982,1.2,1.11807,1.56649876506e+40,2.59199734021e-05
32,29.5867698127,1.00002958681,1.2,1.11807,1.60766924124e+40,2.66011662992e-05
33,30.3837629431,1.00003038381,1.2,1.11807,1.64883971742e+40,2.72823575677e-05
34,31.1807560735,1.0000311808,1.2,1.11807,1.6900101936e+40,2.79635472075e-05
35,31.9777492039,1.00003197779,1.2,1.11807,1.73118066978e+40,2.86447352186e-05
36,32.7747423342,1.00003277478,1.2,1.11807,1.77235114596e+40,2.93259216011e-05
37,33.5717354646,1.00003357177,1.2,1.11807,1.81352162214e+40,3.00071063549e-05
38,34.368728595,1.00003436877,1.2,1.11807,1.85469209832e+40,3.06882894801e-05
39,35.1657217254,1.00003516576,1.2,1.11807,1.8958625745e+40,3.13694709766e-05
40,35.9627148557,1.00003596275,1.2,1.06327,1.93703305068e+40,3.20506508444e-05
41,36.7018373621,1.00003670188,1.2,1.06327,1.97426682915e+40,3.26666943765e-05
42,37.4409598685,1.000037441,1.2,1.06327,2.01150060762e+40,3.32827365425e-05
43,38.1800823748,1.00003818012,1.2,1.06327,2.0487343861e+40,3.38987773426e-05
44,38.9192048812,1.00003891925,1.2,1.06327,2.08596816457e+40,3.45148167767e-05
45,39.6583273875,1.00003965837,1.2,1.06327,2.12320194304e+40,3.51308548449e-05
46,40.3974498939,1.0000403975,1.2,1.06327,2.16043572151e+40,3.57468915472e-05
47,41.1365724003,1.00004113662,1.2,1.06327,2.19766949998e+40,3.63629268835e-05
48,41.8756949066,1.00004187575,1.2,1.06327,2.23490327846e+40,3.69789608539e-05
49,42.614817413,1.00004261487,1.2,1.01116,2.27213705693e+40,3.75949934583e-05
50,43.3002755052,1.00004330033,1.2,1.01116,2.30581060363e+40,3.81521199034e-05
51,43.9857335974,1.00004398579,1.2,1.01116,2.33948415033e+40,3.87092452028e-05
52,44.6711916897,1.00004467125,1.2,1.01116,2.37315769703e+40,3.92663693566e-05
53,45.3566497819,1.00004535671,1.2,1.01116,2.40683124373e+40,3.98234923648e-05
54,46.0421078741,1.00004604217,1.2,1.01116,2.44050479043e+40,4.03806142274e-05
55,46.7275659664,1.00004672763,1.2,1.01116,2.47417833713e+40,4.09377349443e-05
56,47.4130240586,1.00004741309,1.2,1.01116,2.50785188383e+40,4.14948545157e-05
57,48.0984821508,1.00004809855,1.2,1.01116,2.54152543053e+40,4.20519729414e-05
58,48.783940243,1.000048784,1.2,1.01116,2.57519897723e+40,4.26090902216e-05
59,49.4693983353,1.00004946946,1.1999,0.9616,2.60887252393e+40,4.31662063561e-05
60,50.1050989605,1.00005010516,1.1999,0.9616,2.63932629676e+40,4.36700505263e-05
61,50.7407995858,1.00005074085,1.1999,0.9616,2.6697800696e+40,4.41738937356e-05
62,51.376500211,1.00005137654,1.1999,0.9616,2.70023384244e+40,4.46777359842e-05
63,52.0122008363,1.00005201223,1.1999,0.9616,2.73068761527e+40,4.51815772718e-05
64,52.6479014615,1.00005264792,1.1999,0.9616,2.76114138811e+40,4.56854175987e-05
65,53.2836020868,1.00005328361,1.1999,0.9616,2.79159516095e+40,4.61892569647e-05
66,53.9193027121,1.0000539193,1.1999,0.9616,2.82204893379e+40,4.669309537e-05
67,54.5550033373,1.00005455499,1.1999,0.9616,2.85250270662e+40,4.71969328144e-05
68,55.1907039626,1.00005519069,1.1999,0.91448,2.88295647946e+40,4.77007692979e-05
69,55.7802427769,1.00005578022,1.1999,0.91448,2.91049837347e+40,4.81564288882e-05
70,56.3697815913,1.00005636976,1.1999,0.91448,2.93804026747e+40,4.86120876726e-05
71,56.9593204056,1.0000569593,1.1999,0.91448,2.96558216148e+40,4.90677456511e-05
72,57.5488592199,1.00005754883,1.1999,0.91448,2.99312405549e+40,4.95234028238e-05
73,58.1383980343,1.00005813837,1.1999,0.91448,3.0206659495e+40,4.99790591906e-05
74,58.7279368486,1.00005872791,1.1999,0.91448,3.0482078435e+40,5.04347147516e-05
75,59.317475663,1.00005931744,1.1999,0.91448,3.07574973751e+40,5.08903695068e-05
