,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
0,0.0,1.0,0.0,1.2,9.99231495697e-07,1.3
1,0.999231495697,1.00000099923,9.99231495697e-07,1.19999900077,9.9172735695e-07,1.29348323741
2,10.587979832,1.00001058798,9.26676129738e-07,1.19998941202,9.19716908677e-07,1.23008575705
3,19.48047967,1.00001948048,8.59389395431e-07,1.19998051952,8.52935517999e-07,1.16979584854
4,27.7272890816,1.00002772729,7.96988667081e-07,1.19997227271,7.91003433878e-07,1.11246115502
5,35.3752944761,1.00003537529,7.39119112481e-07,1.19996462471,7.3356848986e-07,1.05793679315
6,42.4679772999,1.00004246798,6.85451673195e-07,1.19995753202,6.80304099552e-07,1.00608498603
7,49.0456613579,1.00004904566,6.35681191723e-07,1.19995095434,6.30907397874e-07,0.956774714257
8,55.1457421629,1.00005514574,5.89524674863e-07,1.19994485426,5.8509751748e-07,0.909881384115
9,60.8028996209,1.0000608029,5.46719683334e-07,1.1999391971,5.42613990497e-07,0.865286512156
10,66.0492952646,1.0000660493,5.07022838485e-07,1.1999339507,5.03215266454e-07,0.822877425253
11,70.9147551574,1.00007091476,4.70208437556e-07,1.19992908524,4.66677337959e-07,0.782546975435
12,75.4269395099,1.00007542694,4.36067169588e-07,1.19992457306,4.32792466265e-07,0.744193268737
13,79.6114999743,1.0000796115,4.04404924678e-07,1.1999203885,4.01367999468e-07,0.707719407384
14,83.4922255135,1.00008349223,3.75041689758e-07,1.19991650777,3.72225276595e-07,0.673033244646
15,87.0911776739,1.00008709118,3.47810524633e-07,1.19991290882,3.45198611332e-07,0.640047151742
16,90.428816032,1.00009042882,3.22556612419e-07,1.19990957118,3.20134349603e-07,0.608677796202
17,93.5241145301,1.00009352411,2.99136378985e-07,1.19990647589,2.96889995625e-07,0.578845931108
18,96.3946693617,1.00009639467,2.77416676369e-07,1.19990360533,2.75333401463e-07,0.550476194693
19,99.056799021,1.0000990568,2.57274025529e-07,1.1999009432,2.55342015474e-07,0.523496919782
20,101.525637086,1.00010152564,2.38593914106e-07,1.19989847436,2.36802185339e-07,0.497839952588
21,103.815218265,1.00010381522,2.21270145202e-07,1.19989618478,2.19608511743e-07,0.473440480404
22,105.938558187,1.00010593856,2.05204233472e-07,1.19989406144,2.03663248996e-07,0.450236867756
23,107.90772741,1.00010790773,1.90304845076e-07,1.19989209227,1.88875749202e-07,0.428170500592
24,109.73392004,1.00010973392,1.76487278324e-07,1.19989026608,1.75161946795e-07,0.407185638132
25,111.427517376,1.00011142752,1.63672982033e-07,1.19988857248,1.62443880525e-07,0.387229271968
26,112.998146933,1.00011299815,1.51789108881e-07,1.19988700185,1.50649250158e-07,0.368250992096
27,114.454737174,1.00011445474,1.40768101192e-07,1.19988554526,1.3971100538e-07,0.350202859511
28,115.805568272,1.00011580557,1.30547306814e-07,1.19988419443,1.29566964556e-07,0.333039285057
29,117.058319179,1.00011705832,1.21068622885e-07,1.19988294168,1.20159461174e-07,0.316716914216
30,118.220111288,1.00011822011,1.12278165487e-07,1.19988177989,1.11435015979e-07,0.301194517552
31,119.297548916,1.00011929755,1.04125963275e-07,1.19988070245,1.03344032906e-07,0.28643288653
32,120.296756845,1.00012029676,9.65656733685e-08,1.19987970324,9.58405170998e-08,0.272394734438
33,121.223415149,1.00012122342,8.95543178688e-08,1.19987877658,8.88818134201e-08,0.259044602179
34,122.082791477,1.00012208279,8.3052039516e-08,1.19987791721,8.24283639255e-08,0.246348768671
35,122.879771005,1.00012287977,7.70218750865e-08,1.19987712023,7.64434829773e-08,0.234275165651
36,123.618884204,1.00012361888,7.14295452484e-08,1.19987638112,7.08931486723e-08,0.222793296652
37,124.304332597,1.00012430433,6.62432596771e-08,1.19987569567,6.57458094219e-08,0.211874159952
38,124.940012642,1.00012494001,6.14335363229e-08,1.19987505999,6.09722045773e-08,0.201490175304
39,125.529537883,1.00012552954,5.69730338027e-08,1.19987447046,5.65451980802e-08,0.191615114261
40,126.076259493,1.00012607626,5.28363959635e-08,1.19987392374,5.24396241934e-08,0.182224033907
41,126.583285323,1.00012658329,4.90001077324e-08,1.19987341671,4.86321444335e-08,0.173293213847
42,127.053497572,1.0001270535,4.54423614343e-08,1.1998729465,4.51011148929e-08,0.164800096287
43,127.489569168,1.00012748957,4.21429328172e-08,1.19987251043,4.18264631953e-08,0.15672322904
44,127.893978964,1.00012789398,3.90830660791e-08,1.19987210602,3.87895743874e-08,0.14904221134
45,128.26902583,1.00012826903,3.62453672443e-08,1.19987173097,3.59731851147e-08,0.141737642303
46,128.616841723,1.00012861684,3.36137052813e-08,1.19987138316,3.33612854828e-08,0.13479107192
47,128.939403802,1.0001289394,3.11731204013e-08,1.1998710606,3.09390280441e-08,0.128184954446
48,129.238545669,1.00012923855,2.89097390149e-08,1.19987076145,2.86926433936e-08,0.121902604086
49,129.515967797,1.00012951597,2.68106948641e-08,1.19987048403,2.66093618929e-08,0.115928152836
50,129.773247187,1.00012977325,2.48640558813e-08,1.19987022675,2.46773410786e-08,0.110246510408
51,130.011846344,1.00013001185,2.30587563588e-08,1.19986998815,2.28855983409e-08,0.104843326107
52,130.233121581,1.00013023312,2.13845340432e-08,1.19986976688,2.12239484912e-08,0.0997049525819
53,130.438330733,1.00013043833,1.98318717986e-08,1.19986956167,1.96829458624e-08,0.0948184113539
54,130.62864031,1.00013062864,1.83919435042e-08,1.19986937136,1.82538306133e-08,0.0901713600323
55,130.805132122,1.00013080513,1.70565638809e-08,1.19986919487,1.69284789323e-08,0.0857520611385
56,130.968809434,1.00013096881,1.58181419617e-08,1.19986903119,1.56993568565e-08,0.0815493524578
57,131.120602667,1.0001311206,1.46696379389e-08,1.1998688794,1.45594774436e-08,0.0775526188444
58,131.261374686,1.00013126137,1.36045231465e-08,1.19986873863,1.35023610544e-08,0.0737517654086
59,131.391925705,1.00013139193,1.26167429467e-08,1.19986860807,1.25219985181e-08,0.0701371920181
60,131.51299784,1.000131513,1.17006823119e-08,1.199868487,1.16128169731e-08,0.0666997690489
61,131.625279322,1.00013162528,1.08511339057e-08,1.19986837472,1.07696481874e-08,0.0634308143252
62,131.729408411,1.00013172941,1.00632684816e-08,1.19986827059,9.98769917938e-09,0.0603220711894
63,131.825977027,1.00013182598,9.3326074306e-09,1.19986817402,9.26252497189e-09,0.0573656876464
64,131.915534111,1.00013191553,8.65499732217e-09,1.19986808447,8.59000332453e-09,0.054554196531
65,131.998588749,1.00013199859,8.02658629423e-09,1.19986800141,7.96631130053e-09,0.0518804966469
66,132.075613061,1.00013207561,7.44380215683e-09,1.19986792439,7.38790353513e-09,0.04933783483
67,132.147044891,1.00013214704,6.903332086e-09,1.19986785296,6.85149208181e-09,0.0469197888913
68,132.213290289,1.00013221329,6.40210379183e-09,1.19986778671,6.35402772186e-09,0.044620251395
69,132.274725827,1.00013227473,5.93726805403e-09,1.19986772527,5.89268263103e-09,0.0424334142329
70,132.331700732,1.0001323317,5.50618252543e-09,1.1998676683,5.4648343047e-09,0.0403537539534
71,132.384538876,1.00013238454,5.1063967115e-09,1.19986761546,5.06805065017e-09,0.0383760178108
72,132.433540617,1.00013243354,4.73563804054e-09,1.19986756646,4.70007616148e-09,0.0364952104976
73,132.478984502,1.00013247898,4.39179894516e-09,1.19986752102,4.35881909787e-09,0.0347065815272
74,132.521128856,1.00013252113,4.07292488184e-09,1.19986747887,4.04233959334e-09,0.0330056132353
75,132.560213248,1.00013256021,3.77720322033e-09,1.19986743979,3.74883862944e-09,0.0313880093693
76,132.596459851,1.00013259646,3.5029529397e-09,1.19986740354,3.47664780877e-09,0.0298496842362
77,132.630074707,1.00013263007,3.24861507264e-09,1.19986736993,3.22421987098e-09,0.0283867523836
78,132.661248899,1.00013266125,3.0127438435e-09,1.19986733875,2.99011989735e-09,0.0269955187857
