,a,0.80,0.85,0.90,0.95
0,1.2427,0.0199541722458,0.321608021587,1.0,1.0
1,1.2481,0.0186998715629,0.316817955712,1.0,1.0
2,1.2536,0.0186998715697,0.316817955743,1.0,1.0
3,1.259,0.0174865346072,0.312059807044,1.0,1.0
4,1.2644,0.0174865346166,0.312059807029,1.0,1.0
5,1.2699,0.0163141695135,0.307333777503,1.0,1.0
6,1.2753,0.0163141695237,0.307333777489,1.0,1.0
7,1.2807,0.0163141695343,0.302640067283,1.0,1.0
8,1.2862,0.0151827826175,0.302640067256,1.0,1.0
9,1.2916,0.01518278263,0.297978874626,1.0,1.0
10,1.2971,0.0140923786515,0.297978874608,1.0,1.0
11,1.3025,0.0140923786571,0.293350395891,1.0,1.0
12,1.3079,0.0130429605844,0.288754825459,1.0,1.0
13,1.3134,0.0130429605687,0.288754825489,1.0,1.0
14,1.3188,0.0130429605742,0.284192355893,1.0,1.0
15,1.3242,0.0120345297275,0.284192355917,1.0,1.0
16,1.3297,0.0120345297374,0.279663177737,1.0,1.0
17,1.3351,0.0110670857302,0.275048545273,1.0,1.0
18,1.3405,0.0110670857419,0.275048545254,1.0,1.0
19,1.346,0.0110670857505,0.270467515551,1.0,1.0
20,1.3514,0.0101406266037,0.270467515531,1.0,1.0
21,1.3569,0.0101406266129,0.265920273005,1.0,1.0
22,1.3623,0.00925514859923,0.265920272984,1.0,1.0
23,1.3677,0.00925514860327,0.265920273022,1.0,1.0
24,1.3732,0.00925514861009,0.261407000149,1.0,1.0
25,1.3786,0.00841064641827,0.261407000127,1.0,1.0
26,1.384,0.00841064642361,0.25692787744,1.0,1.0
27,1.3895,0.0076071130129,0.256927877411,1.0,1.0
28,1.3949,0.00760711301902,0.252483083473,1.0,1.0
29,1.4003,0.00760711302528,0.252483083453,1.0,1.0
30,1.4058,0.00684453979192,0.248072794884,1.0,1.0
31,1.4112,0.00684453980022,0.248072794864,1.0,1.0
