,a,0.80,0.85,0.90,0.95
0,1.2427,-1509.80723996,-1606.81028524,,-1354.34442814
1,1.2481,-1502.77488108,-1599.25512265,,-1348.445193
2,1.2536,-1496.65096815,-1592.52862755,,-1342.59712659
3,1.259,-1489.72997019,-1585.09245389,,-1336.79956606
4,1.2644,-1483.7082937,-1578.48114182,,-1331.05185993
5,1.2699,-1476.89603711,-1571.16106616,,-1325.35336789
6,1.2753,-1470.97411133,-1564.66207466,,-1319.70346057
7,1.2807,-1465.09948632,-1557.45530126,,-1314.10151924
8,1.2862,-1458.44347795,-1551.06586152,,-1308.54693568
9,1.2916,-1452.66505106,-1543.9696859,,-1303.03911187
10,1.2971,-1446.11160622,-1537.68711902,,-1297.57745984
11,1.3025,-1440.42708356,-1530.69892428,,-1292.16140143
12,1.3079,-1433.97385845,-1523.76345997,,-1286.79036809
13,1.3134,-1428.3810179,-1517.6378909,,-1281.46380069
14,1.3188,-1422.83163469,-1510.80666452,,-1276.18114931
15,1.3242,-1416.52242926,-1504.78162375,,-1270.94187308
16,1.3297,-1411.06154965,-1498.05222186,,-1265.74543995
17,1.3351,-1404.84702845,-1488.1916525,,-1260.59132656
18,1.3405,-1399.47259732,-1482.32696403,,-1255.47901803
19,1.346,-1394.13913069,-1475.75987431,,-1250.40800778
20,1.3514,-1388.06068159,-1469.98965591,,-1245.37779741
21,1.3569,-1382.81072216,-1463.51850124,,-1240.3878965
22,1.3623,-1376.82182957,-1457.84054816,,-1235.43782246
23,1.3677,-1371.6534738,-1452.20648186,,-1230.52710035
24,1.3732,-1366.52377518,-1445.87534768,,-1225.65526278
25,1.3786,-1360.66358822,-1440.33038176,,-1220.82184973
26,1.384,-1355.61276753,-1434.08989251,,-1216.02640839
27,1.3895,-1349.8373801,-1428.63198648,,-1211.26849305
28,1.3949,-1344.86367168,-1422.48014688,,-1206.54766495
29,1.4003,-1339.92648167,-1417.10732175,,-1201.86349213
30,1.4058,-1334.27296212,-1411.04219644,,-1197.21554933
31,1.4112,-1329.41035482,-1405.75253239,,-1192.60341783
32,1.4167,-1324.58306126,-1399.77224371,,-1188.02668535
33,1.4221,-1319.04755086,-1394.56387792,,-1183.48494589
34,1.4275,-1314.29241947,-1389.39412772,,-1178.97779967
35,1.433,-1308.83479218,-1383.5377283,,-1174.50485294
36,1.4384,-1304.1502528,-1378.44659922,,-1170.06571793
37,1.4438,-1299.49912732,-1372.67055988,,-1165.66001271
38,1.4493,-1294.15342168,-1367.65632238,,-1161.28736105
39,1.4547,-1289.57063705,-1361.9589515,,-1156.94739239
40,1.4602,-1285.0201945,-1357.01992611,,-1152.63974165
41,1.4656,-1279.78296961,-1352.11659317,,-1148.36404919
42,1.471,-1275.29871106,-1346.53413628,,-1144.11996067
43,1.4765,-1270.84576776,-1341.70360019,,-1139.90712699
44,1.4819,-1265.71372454,-1336.19577232,,-1135.72520415
45,1.4873,-1261.32489782,-1331.43647081,,-1131.57385319
46,1.4928,-1256.96640219,-1326.71095261,,-1127.4527401
47,1.4982,-1251.93637607,-1321.31215874,,-1123.36153569
48,1.5036,-1247.64001446,-1316.65562744,,-1119.29991555
49,1.5091,-1242.677511,-1312.03180171,,-1115.26755996
50,1.5145,-1238.44199438,-1306.73870363,,-1111.26415375
51,1.52,-1234.23525217,-1302.18171057,,-1107.2893863
52,1.5254,-1229.36975838,-1296.95734322,,-1103.34295138
53,1.5308,-1225.22201092,-1292.46578755,,-1099.42454715
54,1.5363,-1221.10215736,-1288.00523435,,-1095.53387601
55,1.5417,-1216.3308355,-1282.88131116,,-1091.67064457
56,1.5471,-1212.26820036,-1278.48418656,,-1087.83456358
57,1.5526,-1208.23261388,-1274.11710162,,-1084.02534781
58,1.558,-1203.55273765,-1269.09063602,,-1080.24271603
59,1.5634,-1199.57266354,-1264.78505214,,-1076.48639092
60,1.5689,-1195.61882637,-1259.82204238,,-1072.75609901
61,1.5743,-1191.69096758,-1255.57670951,,-1069.05157059
62,1.5798,-1187.12781146,-1251.35989228,,-1065.37253967
63,1.5852,-1183.25330457,-1246.48963484,,-1061.71874393
64,1.5906,-1179.40400637,-1242.33126779,,-1058.0899246
65,1.5961,-1174.92635019,-1238.20055363,,-1054.48582646
66,1.6015,-1171.12884848,-1233.42036833,,-1050.90619775
67,1.6069,-1167.35581563,-1229.34637446,,-1047.35079011
68,1.6124,-1162.96126662,-1225.29920484,,-1043.81935855
69,1.6178,-1159.23853442,-1220.60651622,,-1040.31166134
70,1.6232,-1155.53955969,-1216.61440447,,-1036.82746003
71,1.6287,-1151.22581511,-1212.64832077,,-1033.36651931
72,1.6341,-1147.57570194,-1208.04065301,,-1029.92860704
73,1.6396,-1143.94866194,-1204.12802897,,-1026.51349413
74,1.645,-1139.71350484,-1200.24066767,,-1023.12095454
75,1.6504,-1136.1339414,-1195.71563977,,-1019.75076519
76,1.6559,-1132.57679264,-1191.88020108,,-1016.40270593
77,1.6613,-1129.04184868,-1188.06928921,,-1013.07655952
78,1.6667,-1124.90708224,-1183.62461052,,-1009.77211153
79,1.6722,-1121.41785741,-1179.86414244,,-1006.48915031
80,1.6776,-1117.95021133,-1176.12749329,,-1003.22746698
81,1.6831,-1113.88918198,-1171.7609592,,-999.986855333
82,1.6885,-1110.46598646,-1168.07333053,,-996.767111841
83,1.6939,-1107.06376674,-1164.40883958,,-993.568035572
84,1.6994,-1103.07452961,-1160.11832755,,-990.389428174
85,1.7048,-1099.71553807,-1156.50148669,,-987.231093822
86,1.7102,-1096.37694147,-1152.90712782,,-984.09283918
87,1.7157,-1093.05855463,-1149.33504196,,-980.974473366
88,1.7211,-1089.16107062,-1145.14256485,,-977.875807905
89,1.7265,-1085.88435908,-1141.61638668,,-974.796656701
90,1.732,-1079.72533416,-1138.11185781,,-971.736835991
91,1.7374,-1076.49643787,-1133.9907408,,-968.696164314
92,1.7429,-1073.2867959,-1130.53086334,,-965.674462472
93,1.7483,-1070.09623653,-1127.09203426,,-962.671553496
94,1.7537,-1066.3401903,-1123.04040216,,-959.687262612
95,1.7592,-1063.1890161,-1119.64501351,,-956.721417208
96,1.7646,-1060.05641127,-1116.27009413,,-953.773846794
97,1.77,-1056.36430332,-1112.91545949,,-950.844382982
98,1.7755,-1053.270041,-1108.95349211,,-947.932859439
99,1.7809,-1050.19385294,-1105.64075643,,-945.03911187
100,1.7863,-1047.13558122,-1102.34775384,,-942.162977974
101,1.7918,-1043.52521525,-1098.45114435,,-939.304297425
102,1.7972,-1040.5039597,-1095.19892763,,-936.462911832
103,1.8027,-1037.50014816,-1091.96591193,,-933.638664718
104,1.8081,-1034.51362998,-1088.75192771,,-930.831401488
105,1.8135,-1030.98228806,-1084.93969343,,-928.040969398
106,1.819,-1028.03152,-1081.76507718,,-925.267217535
107,1.8244,-1025.09759449,-1078.60898506,,-922.509996778
108,1.8298,-1021.62454605,-1075.47125542,,-919.769159786
109,1.8353,-1018.72545316,-1071.74056185,,-917.044560957
110,1.8407,-1015.84276739,-1068.64084727,,-914.336056414
111,1.8461,-1012.97634985,-1065.55901112,,-911.643503971
112,1.8516,-1009.57784715,-1061.88783983,,-908.966763116
113,1.857,-1006.74509386,-1058.84304027,,-906.305694978
114,1.8625,-1003.92819281,-1055.81565177,,-903.66016231
115,1.8679,-1001.12701131,-1052.80552542,,-901.030029464
116,1.8733,-997.800654271,-1049.21124247,,-898.415162364
117,1.8788,-995.032020164,-1046.23690491,,-895.815428486
118,1.8842,-992.278708003,-1043.27938318,-1097.97745775,-893.230696839
119,1.8896,-989.54059095,-1040.33853507,-896.722796174,-890.660837935
120,1.8951,-986.284083285,-1036.81864205,-894.167464609,-888.105723775
121,1.9005,-983.57744546,-1033.91239038,-891.626655178,-885.565227823
122,1.906,-980.885622512,-1031.02238588,-889.100244438,-883.039224988
123,1.9114,-978.208493138,-1028.1484927,-886.588110339,-880.5275916
124,1.9168,-975.019636792,-1024.70060091,-884.090132207,-878.030205395
125,1.9223,-972.372964558,-1021.86016419,-881.606190729,-875.546945491
126,1.9277,-969.74062211,-1019.03543114,-879.136167908,-873.077692364
