,e,1.30,1.80,2.20
0,0.0,,,-843.855529318
1,0.0047,,,-841.098451373
2,0.0095,,,-845.110382379
3,0.0142,,,-849.099057077
4,0.019,,,-853.187424818
5,0.0238,,,-857.285134301
6,0.0285,,,-861.428407248
7,0.0333,,,-865.620515729
8,0.038,,,-869.858811075
9,0.0427,,,-874.196318423
10,0.0475,,,-878.45130932
11,0.0522,,,-882.859601856
12,0.057,,,-887.257497846
13,0.0617,,,-891.780396088
14,0.0665,,,-896.252441585
15,0.0712,,,-900.827592251
16,0.076,,,-905.316761813
17,0.0808,,,-910.085723583
18,0.0855,,,-914.751758741
19,0.0902,,,-919.501347494
20,0.095,,,-924.334057599
21,0.0997,,,-767.758855208
22,0.1045,,-933.382625679,-763.676694254
23,0.1092,-1285.38902043,-928.336516084,-759.548059124
24,0.114,-1281.04095173,-925.196244238,-756.978745794
25,0.1187,-1273.88156049,-920.025572775,-752.748196414
26,0.1235,-1266.63993351,-914.795508838,-748.469053191
27,0.1283,-1262.01050026,-911.452029267,-745.73347899
28,0.133,-1254.58921513,-906.09221221,-741.348174124
29,0.1377,-1249.76637769,-902.609051837,-738.498315636
30,0.1425,-1242.16038373,-897.115833969,-734.003864651
31,0.1472,-1237.13922087,-893.489438568,-731.036813864
32,0.152,-1229.34320617,-887.85898349,-726.430077887
33,0.1568,-1224.11852304,-884.085601229,-723.342765128
34,0.1615,-1216.78421845,-878.788603464,-719.008857859
35,0.1663,-1210.69321553,-874.389545795,-715.409628861
36,0.171,-1205.15314767,-870.388385671,-712.135952394
37,0.1757,-1199.50527384,-866.309365678,-708.798572397
38,0.1805,-1191.09382885,-860.234433174,-703.828173072
39,0.1852,-1185.22517477,-855.995960783,-700.360332022
40,0.19,-1179.24412764,-851.676315632,-696.826076903
41,0.1948,-1173.14909448,-847.274347235,-693.224466394
42,0.1995,-1166.93843708,-842.788872447,-689.554532475
43,0.2042,-1160.61047082,-838.21867459,-685.815279685
44,0.209,-1154.16346338,-833.562502553,-682.005684372
45,0.2137,-1147.59563344,-828.819069809,-678.12469395
46,0.2185,-1140.9051493,-823.987053484,-674.171226051
47,0.2233,-1134.09012751,-819.065093297,-670.144167713
48,0.228,-1127.14863134,-814.051790514,-666.042374524
49,0.2327,-1120.07866932,-808.945706824,-661.864669689
50,0.2375,-1115.54570733,-805.671900952,-659.186101249
51,0.2422,-1108.2141444,-800.376883277,-654.853814062
52,0.247,-1100.74786219,-794.984568347,-650.441920021
53,0.2517,-1095.82881899,-791.431926036,-647.535212682
54,0.2565,-1088.08811737,-785.841419317,-642.96116173
55,0.2612,-1082.90569473,-782.098558521,-639.898821086
56,0.266,-1076.17996334,-777.241085855,-635.924525267
57,0.2707,-1069.42674136,-772.363758871,-631.933985004
58,0.2755,-1063.83959661,-768.328598784,-628.632490392
59,0.2802,-1058.11777468,-764.196171836,-625.251413802
60,0.285,-1052.13030241,-759.87188632,-621.713362012
61,0.2898,-1044.97321581,-754.702879336,-617.484174482
62,0.2945,-1038.85829346,-750.286546528,-613.870811281
63,0.2993,-1033.52595275,-746.43541158,-610.719882694
64,0.304,-1027.40504201,-742.014753836,-607.102980904
65,0.3087,-1020.82400099,-737.261779774,-603.21418394
66,0.3135,-1014.09049109,-732.3986893,-599.235291743
67,0.3182,-1009.97693298,-729.427786224,-596.80455287
68,0.323,-1003.055589,-724.429037809,-592.714667806
69,0.3277,-998.790912267,-721.348993513,-590.19463157
70,0.3325,-991.458762776,-716.053552228,-585.861997791
71,0.3372,-986.935991828,-712.78710656,-583.189451346
72,0.342,-982.294066903,-709.434605243,-580.44649573
73,0.3468,-977.303255858,-705.830130613,-577.497380127
74,0.3515,-972.045287831,-702.032709276,-574.390399041
75,0.3563,-967.633172139,-698.846181299,-571.783239794
