,e,0.80,0.85,0.90,0.95
0,0.0,-1023.91595463,-1028.98452951,,
1,0.0047,-1020.78727984,-1023.26351292,,
2,0.0095,-1015.43067831,-1019.70119522,,
3,0.0142,-1012.24483537,-1016.10049221,,
4,0.019,-1006.85974112,-1012.46090328,,
5,0.0238,-1003.61452931,-1006.64531595,,
6,0.0285,-1000.33382962,-1004.45362462,,
7,0.0333,-994.891263279,-1009.1452072,,
8,0.038,-991.547892756,-1013.81114354,,
9,0.0427,-988.167501506,-1018.6806134,,
10,0.0475,-984.749588178,-1023.33964354,,
11,0.0522,-979.214908819,-1028.41813144,,
12,0.057,-975.72974452,-1035.80579522,,
13,0.0617,-978.803593304,-1040.45659666,,
14,0.0665,-983.232148571,-1045.77763928,,
15,0.0712,-987.721290631,-1050.91116785,,
16,0.076,-994.707317696,-1055.67663257,,-958.310714608
17,0.0808,-999.276691238,-1060.88094183,,-953.03200984
18,0.0855,-1003.72463346,-1066.52950788,,-949.709794392
19,0.0902,-1008.63007293,-1071.52117313,,-944.304304951
20,0.095,-1013.38553693,-1076.84604258,,-938.838567316
21,0.0997,-1018.31832269,-1082.50956463,,-935.309031197
22,0.1045,-1025.51586948,-1087.87171087,-933.3820874,-929.7114633
23,0.1092,-1030.5121812,-1093.52153871,-928.335950224,-926.039578631
24,0.114,-1035.3789277,-1098.75586112,-925.195649244,-920.306642018
25,0.1187,-1040.01133952,-1107.3280212,-920.024949533,-916.488983474
26,0.1235,-1045.05829417,-1113.08270381,-914.794857035,-910.616959074
27,0.1283,-1050.53344555,-1119.08316138,-911.451347165,-906.649911752
28,0.133,-1055.61241669,-910.001301476,-906.091500848,-900.634891147
29,0.1377,-1063.34578903,-905.198406083,-902.608309352,-896.514641685
30,0.1425,-1069.19388833,-902.253414539,-897.115061503,-892.316395272
31,0.1472,-1074.47140877,-897.328445599,-893.488634131,-886.513686462
32,0.152,-1080.07073135,-892.345092334,-887.858148329,-881.717525225
33,0.1568,-1084.94797896,-889.201343825,-884.084733222,-877.27891749
34,0.1615,-888.059828679,-884.090593463,-878.750772835,-872.758150502
35,0.1663,-883.511154536,-880.810062966,-874.388612547,-868.154122996
36,0.171,-880.775007327,-875.568167225,-870.387418182,-863.465702755
37,0.1757,-876.107063997,-872.147181608,-866.308363447,-858.691725826
38,0.1805,-871.381921233,-866.770194876,-860.233397778,-853.830995709
39,0.1852,-868.45189091,-863.204874732,-855.994889683,-848.882282505
40,0.19,-863.6020393,-857.688643449,-851.675208303,-843.844322046
41,0.1948,-858.69208757,-853.974892194,-847.27320314,-838.715814978
42,0.1995,-855.560018008,-850.185597863,-842.78769104,-833.49542582
43,0.2042,-850.519480778,-844.448535563,-838.217455323,-828.181781978
44,0.209,-847.24803248,-840.504268779,-833.561244858,-824.745422061
45,0.2137,-842.072758554,-836.481111175,-828.817773125,-819.241952373
46,0.2185,-838.657824286,-832.377898223,-823.985717219,-813.64092703
47,0.2233,-835.169869623,-828.193431811,-819.063716862,-809.924555558
48,0.228,-829.780676788,-823.926479309,-814.050373294,-804.124909939
49,0.2327,-826.142667042,-817.790393662,-808.944248225,-800.217969456
50,0.2375,-822.428268774,-813.271472171,-805.670397365,-794.984918053
51,0.2422,-818.636308323,-809.507158833,-800.375336953,-790.109878998
52,0.247,-812.943008577,-806.007891693,-794.982978644,-785.910840195
53,0.2517,-808.991353922,-801.308740363,-791.430289071,-781.614826531
54,0.2565,-804.958361593,-796.518924607,-785.839737543,-776.800754875
55,0.2612,-800.842713905,-791.636940461,-782.096827858,-771.598148232
56,0.266,-796.643054376,-786.661240388,-777.267272352,-767.002021001
57,0.2707,-792.357986591,-783.474640819,-772.36193134,-763.037535928
58,0.2755,-787.986072946,-778.307974862,-768.326719731,-758.623854498
59,0.2802,-783.525833356,-773.353088015,-764.194240325,-753.711512637
60,0.285,-778.97574395,-769.573968693,-759.864408044,-748.690215588
61,0.2898,-774.334235649,-764.865438369,-754.649973931,-745.322297654
62,0.2945,-771.433319786,-760.445884329,-750.216168403,-740.454348767
63,0.2993,-766.605422819,-756.689980394,-746.443936292,-736.625846333
64,0.304,-761.681157037,-751.299466051,-742.012545096,-731.819774619
65,0.3087,-758.504697687,-746.949978131,-737.259512444,-728.45037098
66,0.3135,-753.383845298,-742.891002344,-732.396362293,-724.973432206
67,0.3182,-750.01844806,-738.730785373,-729.473758069,-720.528785474
68,0.323,-744.693715547,-734.467425456,-724.426583077,-716.642922659
69,0.3277,-741.132193726,-730.098959045,-721.175186377,-713.315495037
70,0.3325,-737.124581875,-725.623358626,-716.050964479,-710.326545433
71,0.3372,-731.830526404,-721.038530489,-712.784447518,-706.437270664
72,0.342,-727.965518903,-718.359746221,-709.431873307,-702.456583519
73,0.3468,-723.998839141,-713.561776762,-705.826497925,-700.805826079
74,0.3515,-719.928454826,-709.520936734,-701.980773066,-696.667044591
75,0.3563,-715.752265636,-705.679637666,-698.843220647,-694.927909292
76,0.361,-711.468100721,-702.625701186,-695.131586984,-692.588101072
77,0.3657,-707.073716054,-697.37575064,-691.326230979,-689.887119432
78,0.3705,-703.72099214,-694.122579042,-688.313755285,-687.598208038
79,0.3752,-699.922850767,-690.778576992,-685.800148991,-685.958583093
80,0.38,-695.195422385,-687.34201678,-682.761610035,-684.936461277
