,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
0,0.0,1.0,0.0,1.2,2.19980967243e-06,2.2
1,2.19980967243,1.00000135856,1.35855557814e-06,1.19999780019,2.18329141181e-06,2.18897276543
2,23.3095539932,1.00001511919,1.38905185227e-06,1.19997669045,2.02477621487e-06,2.08169336201
3,42.8866276665,1.00002923669,1.43559938733e-06,1.19995711337,1.87776464872e-06,1.9796685492
4,61.042255016,1.0000442735,1.58865577408e-06,1.19993895774,1.74142069592e-06,1.88264010878
5,77.879564628,1.00006100485,1.62718918825e-06,1.19992212044,1.61496863748e-06,1.79036217568
6,93.4942461949,1.00007661953,1.50903250832e-06,1.19990650575,1.49769942896e-06,1.70260775969
7,107.975088173,1.00009110037,1.39945645531e-06,1.19989202491,1.38894638609e-06,1.61915522997
8,121.404430208,1.00010452972,1.29783778541e-06,1.19987859557,1.28809094888e-06,1.53979362746
9,133.858631388,1.00011698392,1.20359853917e-06,1.19986614137,1.19455950113e-06,1.46432234689
10,145.408504781,1.00012853379,1.11620274893e-06,1.1998545915,1.10782010263e-06,1.39255062753
11,156.119720362,1.00013924501,1.03515338599e-06,1.19984388028,1.0273794594e-06,1.32429706925
12,166.053178668,1.00014917847,9.59989530012e-07,1.19983394682,9.52780114317e-07,1.25938917234
13,175.265357273,1.00015839064,8.9028374441e-07,1.19982473464,8.83597842276e-07,1.19766290015
14,183.808632096,1.00016693392,8.25639642676e-07,1.19981619137,8.19439234865e-07,1.13896226328
15,191.731575347,1.00017485686,7.65689631801e-07,1.19980826842,7.59939460741e-07,1.0831389242
16,199.079231822,1.00018220452,7.10092819826e-07,1.19980092077,7.04760188919e-07,1.03005182151
17,205.893375124,1.00018901866,6.58533075573e-07,1.19979410662,6.53587663112e-07,0.979566812519
18,212.212745262,1.00019533803,6.10717229483e-07,1.19978778725,6.0613091609e-07,0.931556333605
19,218.073268987,1.00020119856,5.66373405277e-07,1.19978192673,5.62120113889e-07,0.885899077177
20,223.508264119,1.00020663355,5.25249472904e-07,1.19977649174,5.21305020399e-07,0.84247968459
21,228.548629033,1.00021167392,4.87111613971e-07,1.19977145137,4.83453573572e-07,0.801188454149
22,233.223018373,1.00021634831,4.51742991445e-07,1.19976677698,4.48350565133e-07,0.761921063484
23,237.558006005,1.00022068329,4.18942516053e-07,1.19976244199,4.15796416243e-07,0.724578305569
24,241.578236131,1.00022470352,3.88523702333e-07,1.19975842176,3.85606042161e-07,0.689065837723
25,245.30656343,1.00022843185,3.6031360783e-07,1.19975469344,3.57607799405e-07,0.65529394295
26,248.76418301,1.00023188947,3.34151849371e-07,1.19975123582,3.31642509425e-07,0.623177302999
27,251.970750934,1.00023509604,3.0988969083e-07,1.19974802925,3.07562553221e-07,0.592634782582
28,254.94449598,1.00023806978,2.87389197169e-07,1.1997450555,2.85231031743e-07,0.563589224186
