,vfr,1.30,1.80,2.20
0,0.8,0.0,0.0,0.0
1,0.802,0.0,0.0,0.0
2,0.804,0.0,0.0,0.0
3,0.806,0.0,0.0,0.0
4,0.808,0.0,0.0,0.0
5,0.81,0.0,0.0,0.0
6,0.812,0.0,0.0,0.0
7,0.814,0.0,0.0,0.0
8,0.816,0.0,0.0,0.0
9,0.818,0.0,0.0,0.0
10,0.82,0.0,0.0,0.0
11,0.822,0.0,0.0,0.0
12,0.824,0.0,0.0,0.0
13,0.826,0.0,0.0,0.0
14,0.828,0.0,0.0,0.0
15,0.83,0.0,0.0,0.0
16,0.832,0.0,0.0,0.0
17,0.834,0.0,0.0,0.0
18,0.836,0.0,0.0,0.0
19,0.838,0.0,0.0,0.0
20,0.84,0.0,0.0,0.0
21,0.842,0.0,0.0,0.0
22,0.844,0.0,0.0,0.0
23,0.846,0.0,0.0,0.0
24,0.848,0.0,0.0,0.0
25,0.85,0.0,0.0,0.0
26,0.852,0.0,0.0,0.0
27,0.854,0.0,0.0,0.0
28,0.856,0.0,0.0,0.0
29,0.858,0.0,0.0,0.0
30,0.86,0.0,0.0,0.0
31,0.862,0.0,0.0,0.0
32,0.864,0.0,0.0,0.0
33,0.866,0.0,0.0,0.0
34,0.868,0.0,0.0,0.0
35,0.87,0.0,0.0,0.0
36,0.872,0.0,0.0,0.0
37,0.874,0.0,0.0,0.0
38,0.876,0.0,0.0,0.0
39,0.878,0.0,0.0,0.0
40,0.88,1.40636922887e-07,0.0,0.0
41,0.882,1.38273277124e-07,0.0,0.0
42,0.884,1.35909631363e-07,0.0,0.0
43,0.886,1.33827728184e-07,0.0,0.0
44,0.888,1.31459095824e-07,0.0,0.0
45,0.89,1.2909046347e-07,0.0,0.0
46,0.892,1.26721831111e-07,0.0,0.0
47,0.894,1.24353198753e-07,0.0,0.0
48,0.896,1.21984566394e-07,0.0,0.0
49,0.898,1.19615934042e-07,2.29322639141e-07,0.0
50,0.901,1.17247301684e-07,2.24781596774e-07,0.0
