,vfr,1.30,1.80,2.20
0,0.8,-1439.15407029,-1018.27573572,-825.178388013
1,0.801,-1440.99274811,-1019.50766645,-826.132115301
2,0.802,-1442.83756516,-1020.74651043,-827.529958672
3,0.803,-1444.68827352,-1021.99215369,-828.499590884
4,0.804,-1446.5446191,-1023.24449343,-829.475469341
5,0.805,-1448.40634165,-1024.50341262,-830.457518728
6,0.806,-1449.4413214,-1025.76873741,-831.445660899
7,0.807,-1451.31076743,-1027.04033796,-832.439814859
8,0.808,-1453.18491387,-1028.31808045,-833.439896692
9,0.809,-1455.06347832,-1029.60182694,-834.445819532
10,0.8101,-1456.94617199,-1030.89143543,-835.457493482
11,0.8111,-1458.83269974,-1032.18675987,-836.474825593
12,0.8121,-1460.72275998,-1033.48765006,-837.497719831
13,0.8131,-1462.61604472,-1034.79395159,-838.526106628
14,0.8141,-1464.51223951,-1036.10550583,-839.55984103
15,0.8151,-1466.41102346,-1037.42214986,-840.598806348
16,0.8161,-1468.31206919,-1038.74371644,-841.642893371
17,0.8171,-1470.21504286,-1040.07003393,-842.691989549
18,0.8181,-1472.11960418,-1041.40092633,-843.745978902
19,0.8191,-1474.02540638,-1042.73621316,-844.804742168
20,0.8201,-1475.08259701,-1043.46791843,-845.868156676
21,0.8211,-1476.98975834,-1044.80956082,-846.936096289
22,0.8221,-1478.8972641,-1046.15512814,-847.51761816
23,0.8231,-1480.80474482,-1047.50442396,-848.592183315
24,0.8241,-1482.71182468,-1048.85724724,-849.670944758
25,0.8251,-1484.61812151,-1050.21339231,-850.753763936
26,0.8261,-1486.52324686,-1051.57264889,-851.840498686
27,0.8271,-1488.42680607,-1052.93480199,-852.931003205
28,0.8281,-1490.32839826,-1054.29963195,-854.025128026
29,0.8291,-1492.22761648,-1055.66691441,-855.122719974
30,0.8302,-1494.12404769,-1056.41464764,-856.223622143
31,0.8312,-1496.01727291,-1057.78529747,-857.327673885
32,0.8322,-1497.90686727,-1059.15781827,-857.927291553
33,0.8332,-1499.79240008,-1060.53196898,-859.035852902
34,0.8342,-1501.67343499,-1061.90750381,-860.14714639
35,0.8352,-1503.54953001,-1063.28417222,-861.260997899
36,0.8362,-1505.42023769,-1064.66171894,-862.377229494
37,0.8372,-1507.28510522,-1066.03988399,-863.495659346
38,0.8382,-1509.14367456,-1067.41840268,-864.616101766
39,0.8392,-1510.99548255,-1068.1716267,-865.738367151
40,0.8402,-1512.84006109,-1069.55028416,-866.347036252
41,0.8412,-1514.67693726,-1070.92861169,-867.471769961
42,0.8422,-1516.50563351,-1072.30632813,-868.597835497
43,0.8432,-1518.32566779,-1073.68314767,-869.725029468
44,0.8442,-1520.93143408,-1075.05877998,-870.853144574
45,0.8452,-1522.72762044,-1076.43293018,-871.981969625
46,0.8462,-1524.51343276,-1077.80529894,-873.111289519
47,0.8472,-1526.28837139,-1079.17558248,-874.240885291
48,0.8482,-1528.0519333,-1080.54347268,-874.853082496
49,0.8492,-1529.80361224,-1081.9086571,-875.98276703
50,0.8503,-1532.30007273,-1083.27081906,-877.112162025
51,0.8513,-1534.01980949,-1084.62963771,-878.241034883
52,0.8523,-1532.45046287,-1085.98478813,-879.369149256
53,0.8533,-1534.13901903,-1087.33594137,-880.496265005
54,0.8543,-1535.81290855,-1088.68276458,-881.622138273
55,0.8553,-1538.18709598,-1090.02492107,-882.746521515
56,0.8563,-1539.82209703,-1091.36207045,-883.869163536
57,0.8573,-1541.44061815,-1092.69386868,-884.477598092
58,0.8583,-1543.72812516,-1094.01996824,-885.597229612
59,0.8593,-1545.30325369,-1095.3400182,-886.714473965
60,0.8603,-1547.52304005,-1096.65366439,-887.82906744
61,0.8613,-1549.69981734,-1097.96054948,-888.94074292
62,0.8623,-1551.19891321,-1099.26031313,-890.049229953
63,0.8633,-1553.30045111,-1100.55259218,-891.154254823
64,0.8643,-1555.35453304,-1101.8370207,-892.255540621
65,0.8653,-1557.35952383,-1103.11323024,-893.352807329
66,0.8663,-1559.31380614,-1104.38084994,-894.445771906
67,0.8673,-1561.215783,-1106.19931873,-895.534148375
68,0.8683,-1563.06388044,-1107.44382287,-896.617647919
69,0.8693,-1564.85655012,-1108.67842944,-897.695978983
70,0.8704,-1567.08473386,-1109.90275908,-898.768847374
71,0.8714,-1568.7422538,-1111.11643103,-899.835956374
72,0.8724,-1570.78489203,-1112.84981148,-900.897006853
73,0.8734,-1572.71700302,-1114.03520148,-901.951697388
74,0.8744,-1574.91691881,-1115.72414488,-902.999724384
75,0.8754,-1576.9336952,-1116.87889269,-904.509789139
76,0.8764,-1578.76223313,-1118.02069634,-905.539804614
77,0.8774,-1580.65718937,-1119.64165036,-906.562084124
78,0.8784,-1582.66572206,-1120.7494981,-907.576316154
79,0.8794,-1584.58944357,-1122.31763482,-908.582187784
80,0.8804,,-1123.85235477,-910.025550999
81,0.8814,,-1124.90104357,-911.009164743
82,0.8824,,-1126.37745468,-911.983320376
83,0.8834,,-1127.81721114,-913.376868593
84,0.8844,,-1129.2191276,-914.326033209
85,0.8854,,-1130.58203446,-915.264635049
86,0.8864,,-1131.90477985,-916.60268468
87,0.8874,,-1133.55902289,-915.568565877
88,0.8884,,-1134.78370937,-916.4660439
89,0.8894,,-1133.5565111,-917.740386591
90,0.8905,,-1135.01312533,-918.986780617
91,0.8915,,-1136.38777979,-919.834762923
92,0.8925,,-1137.67825918,-921.032420804
93,0.8935,,-1139.13591921,-922.199467387
94,0.8945,,-1140.454958,-768.018660256
95,0.8955,,-1141.8228668,-767.934956418
96,0.8965,,-1143.13067134,-767.85015711
97,0.8975,,-1144.5924753,-767.764262333
98,0.8985,,,-767.677272086
99,0.8995,,,-767.58918637
100,0.9005,,,-767.500005184
101,0.9015,,,-767.409728528
102,0.9025,,-937.833546074,-767.318356402
103,0.9035,,-937.720530124,-767.225888807
104,0.9045,,-937.606175267,-767.132325743
105,0.9055,,-937.490481503,-767.037667208
106,0.9065,,-937.373448832,-766.941913204
107,0.9075,,-937.255077253,-766.845063731
108,0.9085,,-937.135366767,-766.747118788
109,0.9095,,-937.014317374,-766.648078375
110,0.9106,,-936.891929073,-766.547942493
111,0.9116,,-936.768201865,-766.446711141
112,0.9126,,-936.64313575,-766.344384319
113,0.9136,,-936.516730727,-766.240962028
114,0.9146,,-936.388986797,-766.136444267
115,0.9156,,-936.25990396,-766.030831036
116,0.9166,-1296.1792812,-936.129482215,-765.924122336
117,0.9176,-1295.99684337,-935.997721563,-765.816318166
118,0.9186,-1298.56585347,-937.853117754,-767.334369595
119,0.9196,-1298.3797079,-937.718679287,-767.224374486
120,0.9206,-1298.19170846,-937.582901913,-767.113283907
121,0.9216,-1298.00185515,-937.445785632,-767.001097859
122,0.9226,-1297.81014797,-937.307330444,-766.887816341
123,0.9236,-1297.61658691,-937.167536348,-766.773439353
124,0.9246,-1297.42117198,-937.026403345,-766.657966896
125,0.9256,-1297.22390318,-936.883931434,-766.541398969
126,0.9266,-1297.02478051,-936.740120616,-766.423735573
127,0.9276,-1296.82380397,-936.594970891,-766.304976707
128,0.9286,-1296.62097356,-936.448482259,-766.185122371
129,0.9296,-1296.41628927,-936.300654719,-766.064172566
130,0.9307,-1296.20975111,-936.151488272,-765.942127291
131,0.9317,-1296.00135908,-936.000982918,-765.818986547
132,0.9327,-1295.79111318,-935.849138656,-765.694750333
133,0.9337,-1295.57901341,-935.695955487,-765.569418649
134,0.9347,-1295.36505977,-935.541433411,-765.442991496
135,0.9357,-1295.14925225,-935.385572427,-765.315468873
136,0.9367,-1294.93159086,-935.228372536,-765.18685078
137,0.9377,-1294.7120756,-935.069833738,-765.057137218
138,0.9387,-1294.49070647,-934.909956032,-764.926328186
139,0.9397,-1294.26748347,-934.748739419,-764.794423685
140,0.9407,-1294.0424066,-934.586183899,-764.661423713
141,0.9417,-1293.81547585,-934.422289471,-764.527328273
142,0.9427,-1293.58669123,-934.257056137,-764.392137362
143,0.9437,-1296.12099641,-936.08738766,-765.889681342
144,0.9447,-1295.88850405,-935.91947651,-765.752299493
145,0.9457,-1295.65415781,-935.750226454,-765.613822174
146,0.9467,-1295.41795771,-935.579637489,-765.474249385
147,0.9477,-1295.17990373,-935.407709618,-765.333581126
148,0.9487,-1294.93999589,-935.234442839,-765.191817398
149,0.9497,-1294.69823417,-935.059837153,-765.048958201
150,0.9508,-1294.45461858,-934.88389256,-764.905003533
151,0.9518,-1294.20914911,-934.706609059,-764.759953396
152,0.9528,-1293.96182578,-934.527986651,-764.61380779
153,0.9538,-1293.71264857,-934.348025336,-764.466566713
154,0.9548,-1293.4616175,-934.166725113,-764.318230168
155,0.9558,-1293.20873255,-933.984085983,-764.168798152
156,0.9568,-1292.95399373,-933.800107946,-764.018270667
157,0.9578,-1292.69740103,-933.614791001,-763.866647712
158,0.9588,-1292.43895447,-933.428135149,-763.713929288
159,0.9598,-1292.17865403,-933.24014039,-763.560115394
160,0.9608,-1291.91649973,-933.050806723,-763.405206031
161,0.9618,-1291.65249155,-932.860134149,-763.249201197
162,0.9628,-1291.3866295,-932.668122668,-763.092100895
163,0.9638,-1291.65082637,-932.858931523,-763.248217229
164,0.9648,-1293.62600331,-934.285448206,-764.415367243
165,0.9658,-1293.35457964,-934.089420003,-764.254980532
166,0.9668,-1293.0813021,-933.892052892,-764.09349835
167,0.9678,-1292.80617069,-933.693346874,-763.930920699
168,0.9688,-1292.52918541,-933.493301949,-763.767247579
169,0.9698,-1292.25034626,-933.291918117,-763.602478989
170,0.9709,-1291.96965324,-933.089195377,-763.436614929
171,0.9719,-1291.68710634,-932.88513373,-763.269655399
172,0.9729,-1291.40270557,-932.679733176,-763.1016004
173,0.9739,-1291.11645093,-932.472993714,-762.932449932
174,0.9749,-1290.82834242,-932.264915345,-762.762203993
175,0.9759,-1290.53838004,-932.055498069,-762.590862586
176,0.9769,-1290.24656378,-931.844741885,-762.418425708
177,0.9779,-1289.95289366,-931.632646794,-762.244893361
178,0.9789,-1289.65736966,-931.419212796,-762.070265544
179,0.9799,-1289.35999179,-931.20443989,-761.894542258
180,0.9809,-1289.06076005,-930.988328077,-761.717723502
181,0.9819,-1289.17568369,-931.071328487,-761.785632931
182,0.9829,-1291.24518497,-932.565968304,-763.008520056
183,0.9839,-1290.94039161,-932.345839769,-762.828414891
184,0.9849,-1290.63374438,-932.124372327,-762.647214257
185,0.9859,-1290.32524328,-931.901565977,-762.464918153
