,vfr,0.00,0.05,0.10,0.30,0.60
0,0.8,-1023.91595463,-980.852256356,-1018.27573572,-765.544054664,-784.434069605
1,0.801,-1024.13340535,-980.977860597,-1019.50766645,-765.013612622,-786.524499197
2,0.802,-1024.3497606,-981.102254056,-1020.74651043,-765.795451332,-788.160215295
3,0.803,-1024.56502038,-981.225436732,-1021.99215369,-765.788634846,-789.720089874
4,0.804,-1024.7791847,-981.347408626,-1023.24449343,-765.252089474,-792.04055199
5,0.805,-1024.99225354,-981.468169738,-1024.50341262,-764.713509658,-793.704099065
6,0.806,-1025.20422691,-981.587720068,-1025.76873741,-764.172895399,-795.166007661
7,0.807,-1025.41510481,-981.706059615,-1027.04033796,-763.630246696,-797.491084406
8,0.808,-1025.62488725,-981.823188381,-1028.31808045,-764.935723662,-799.09254673
9,0.809,-1025.83357421,-981.939106364,-1029.60182694,-764.389006072,-801.264597027
10,0.8101,-1026.0411657,-982.053813565,-1030.89143543,-763.840254038,-802.949172626
11,0.8111,-1024.0323931,-982.167309983,-1032.18675987,-763.289467562,-804.631777769
12,0.8121,-1024.23779365,-982.27959562,-1033.48765006,-762.736646642,-806.995323981
13,0.8131,-1024.44209874,-982.802755461,-1034.79395159,-764.026039101,-808.589772239
14,0.8141,-1024.64530835,-983.947814544,-1036.10550583,-763.483266291,-811.016173715
15,0.8151,-1024.8474225,-985.094497055,-1037.42214986,-762.924342039,-812.726168622
16,0.8161,-1025.04844117,-986.311299136,-1038.74371644,-762.363383344,-814.220632202
17,0.8171,-1025.24836438,-987.382395891,-1040.07003393,-761.800390205,-816.640051285
18,0.8181,-1025.44719212,-988.564179122,-1041.40092633,-762.061449658,-818.375820952
19,0.8191,-1025.64492438,-989.71888941,-1042.73621316,-762.53492482,-820.409935809
20,0.8201,-1025.84156118,-990.958893676,-1043.46791843,-761.96582835,-822.380608145
21,0.8211,-1026.03710251,-992.126926192,-1044.80956082,-761.394697437,-823.993604704
22,0.8221,-1026.23154837,-993.194714898,-1046.15512814,-760.82153208,-826.434760948
23,0.8231,-1026.42489875,-994.479895601,-1047.50442396,-760.503328064,-828.016498195
24,0.8241,-1026.61715367,-995.646624826,-1048.85724724,-761.544036834,-830.35944969
25,0.8251,-1026.80831312,-996.671761273,-1050.21339231,-760.964768146,-832.293824204
26,0.8261,-1026.9983771,-997.919614339,-1051.57264889,-760.383465015,-834.491944344
27,0.8271,-1027.18734561,-999.011279164,-1052.93480199,-759.80012744,-836.434858533
28,0.8281,-1027.37521865,-1000.13240288,-1054.29963195,-759.380564915,-838.049481016
29,0.8291,-1027.56199622,-1001.49322809,-1055.66691441,-760.51065803,-840.476182209
30,0.8302,-1027.74767832,-1002.6772207,-1056.41464764,-759.921217124,-842.319929937
31,0.8312,-1027.93226496,-1003.66706943,-1057.78529747,-759.329741775,-844.730667387
32,0.8322,-1025.90985438,-1004.90040701,-1059.15781827,-758.736231983,-846.429173318
33,0.8332,-1026.09225007,-1006.16022614,-1060.53196898,-758.582112955,-848.701566806
34,0.8342,-1026.27355029,-1007.20948918,-1061.90750381,-759.434844566,-850.499335375
35,0.8352,-1026.45375504,-1008.51525199,-1063.28417222,-758.835231442,-852.44318098
36,0.8362,-1026.63286433,-1009.60037081,-1064.66171894,-758.233583877,-854.787412097
37,0.8372,-1026.81087814,-1010.70078806,-1066.03988399,-757.629901866,-856.796200264
38,0.8382,-1026.98779649,-1012.06856742,-1067.41840268,-757.97486309,-858.850369642
39,0.8392,-1027.16361936,-1013.20185255,-1068.1716267,-758.31665314,-861.080865264
40,0.8402,-1027.33834676,-1014.34903018,-1069.55028416,-757.706867799,-863.416406884
