,vfr,1.30,1.80,2.20
0,0.8,2.09197951429e-10,0.0,0.0
1,0.801,2.60237555479e-10,0.0,0.0
2,0.802,2.40310244173e-10,0.0,0.0
3,0.803,2.96983435024e-10,0.0,0.0
4,0.804,3.62551914981e-10,3.07951926546e-14,0.0
5,0.805,4.37401406241e-10,6.40801826062e-13,0.0
6,0.806,4.77516262284e-10,2.7591300128e-12,0.0
7,0.807,5.66955835669e-10,7.30944618143e-12,0.0
8,0.808,6.64533185313e-10,1.52096733039e-11,0.0
9,0.809,7.74705534002e-10,2.73593572136e-11,0.0
10,0.81,8.96080548348e-10,4.46544213235e-11,0.0
11,0.811,1.02895179932e-09,6.79700010276e-11,0.0
12,0.812,1.17381699827e-09,9.81794259383e-11,0.0
13,0.813,1.33091737237e-09,1.36125523408e-10,2.75573023288e-13
14,0.814,1.50092571309e-09,1.82681272612e-10,1.94926386653e-12
15,0.815,1.6790923657e-09,2.38643082434e-10,6.26440797221e-12
16,0.816,1.87469042121e-09,3.04772021099e-10,1.44462906477e-11
17,0.817,2.0835156822e-09,3.81822809155e-10,2.76994806362e-11
18,0.818,2.30573941374e-09,4.70519348488e-10,4.72047996061e-11
19,0.819,2.53839329515e-09,5.70855614026e-10,7.40258744819e-11
20,0.82,2.36093681138e-09,4.80514985915e-10,6.10893975783e-11
21,0.821,2.61208403244e-09,5.84604927795e-10,9.31216213089e-11
22,0.822,2.87218226472e-09,7.02463292462e-10,1.11897703263e-10
23,0.823,3.1481492956e-09,8.34965945823e-10,1.58357777125e-10
24,0.824,3.43955678275e-09,9.82696357484e-10,2.16022811775e-10
25,0.825,3.74701451073e-09,1.14648639161e-09,2.8606497865e-10
26,0.826,4.07077438007e-09,1.32706793266e-09,3.69626332126e-10
27,0.827,4.41968654033e-09,1.52496810461e-09,4.67773953627e-10
28,0.828,4.77707215651e-09,1.7412331334e-09,5.81715718287e-10
29,0.829,5.15080837775e-09,1.97614771409e-09,7.12410845337e-10
30,0.83,5.55143566082e-09,2.08772451216e-09,8.60871574685e-10
31,0.831,5.9597419917e-09,2.35042999939e-09,1.0283302369e-09
32,0.832,6.3953802685e-09,2.63280368669e-09,1.11172347532e-09
33,0.833,6.83795795375e-09,2.9362835301e-09,1.30792530389e-09
34,0.834,7.30875020648e-09,3.26038450968e-09,1.52498822378e-09
35,0.835,7.78565708978e-09,3.60669826634e-09,1.76432382667e-09
36,0.836,8.29153854578e-09,3.97445494726e-09,2.02621740378e-09
37,0.837,8.81263670062e-09,4.36341697761e-09,2.31111972048e-09
38,0.838,9.34947688608e-09,4.77417381155e-09,2.61987119505e-09
39,0.839,9.30428981004e-09,4.44704430748e-09,2.52956184574e-09
40,0.84,9.8751729654e-09,4.87204279464e-09,2.67557394228e-09
41,0.841,1.04652850223e-08,5.32166785573e-09,3.02063046498e-09
42,0.842,1.10745761748e-08,5.79637115151e-09,3.39303319825e-09
43,0.843,1.17029713603e-08,6.29657684007e-09,3.79361696889e-09
44,0.844,1.27365601296e-08,6.82185550129e-09,4.22267607041e-09
45,0.845,1.34319120586e-08,7.37264598334e-09,4.68108980974e-09
46,0.846,1.41285630541e-08,7.95076804401e-09,5.17053935592e-09
47,0.847,1.4860946871e-08,8.55425871358e-09,5.69085410275e-09
48,0.848,1.56129764283e-08,9.18526313017e-09,5.92403197667e-09
49,0.849,1.63856560165e-08,9.84373863331e-09,6.48882385952e-09
50,0.85,1.76468072772e-08,1.05287448493e-08,7.08691509374e-09
51,0.851,1.84683825055e-08,1.12429296505e-08,7.71958741743e-09
52,0.852,1.92818205457e-08,1.19828023489e-08,8.38286522907e-09
53,0.853,2.0082478045e-08,1.27498376288e-08,9.08180998706e-09
54,0.854,2.09004691261e-08,1.35462891021e-08,9.81671056869e-09
55,0.855,2.22728356158e-08,1.43690404625e-08,1.05856900439e-08
56,0.856,2.31258678368e-08,1.52177524339e-08,1.13887874547e-08
57,0.857,2.39920897851e-08,1.60938986223e-08,1.17255814599e-08
58,0.858,2.54500617113e-08,1.69934021581e-08,1.2573434883e-08
59,0.859,2.63458824743e-08,1.79195951893e-08,1.34564061944e-08
60,0.86,2.78578943309e-08,1.88657541826e-08,1.43696647412e-08
61,0.861,2.93950509905e-08,1.98284232459e-08,1.53106150574e-08
62,0.862,2.93576150227e-08,1.97483554187e-08,1.51862708568e-08
63,0.863,3.09846656515e-08,2.07797618079e-08,1.6200316883e-08
64,0.864,3.26509836701e-08,2.18350162122e-08,1.72445752015e-08
65,0.865,3.43542799875e-08,2.29174545428e-08,1.83263788452e-08
66,0.866,3.60923578007e-08,2.40318721374e-08,1.94555098818e-08
67,0.867,3.78635803143e-08,2.59037957667e-08,2.06234794999e-08
68,0.868,3.96656395775e-08,2.70858715151e-08,2.18183415076e-08
69,0.869,4.14961940962e-08,2.82997690322e-08,2.30624520005e-08
70,0.87,4.41272191212e-08,2.95391690557e-08,2.43447226118e-08
71,0.871,4.60211117832e-08,3.08034179457e-08,2.5664812105e-08
72,0.872,4.87424765141e-08,3.29353727888e-08,2.70223177282e-08
73,0.873,5.15114236488e-08,3.4275921736e-08,2.84335960119e-08
74,0.874,5.51674825787e-08,3.65263249352e-08,2.9865509045e-08
75,0.875,5.88917335014e-08,3.79318909958e-08,3.22940934614e-08
76,0.876,6.26696320305e-08,3.93594776185e-08,3.38460363573e-08
77,0.877,6.73884953952e-08,4.17739216344e-08,3.54350385184e-08
78,0.878,7.39976312986e-08,4.32747169912e-08,3.70850238234e-08
79,0.879,8.44249630857e-08,4.58113995872e-08,3.8774283899e-08
80,0.88,9.48686392439e-08,4.84155829394e-08,4.15960420646e-08
81,0.881,9.39439183454e-08,5.00278958138e-08,4.34191010141e-08
82,0.882,9.30292958501e-08,5.27720568867e-08,4.53187458467e-08
83,0.883,9.21243222065e-08,5.55822350792e-08,4.84552683378e-08
84,0.884,9.12350862448e-08,5.84804990235e-08,5.05137240384e-08
85,0.885,9.03663079632e-08,6.14703388847e-08,5.26696947828e-08
86,0.886,8.95332710324e-08,6.45878638986e-08,5.62699058838e-08
87,0.887,8.87607934503e-08,6.91164058549e-08,5.82178810342e-08
88,0.888,8.80689062165e-08,7.26417883784e-08,6.00375907582e-08
89,0.889,8.76271668596e-08,7.56324703575e-08,6.3217142336e-08
90,0.89,8.63581942773e-08,7.80952754257e-08,6.45734109679e-08
91,0.891,8.54224722735e-08,8.25225952405e-08,6.65763955096e-08
92,0.892,8.44867502698e-08,8.70076817081e-08,7.00981170543e-08
93,0.893,8.3551028266e-08,9.29641014788e-08,7.36903771469e-08
94,0.894,8.26153062623e-08,9.90020623681e-08,7.73481361657e-08
95,0.895,8.16795842585e-08,1.06581240938e-07,8.10660099595e-08
96,0.896,8.07438622547e-08,1.15744843176e-07,8.48382777873e-08
97,0.897,7.9808140251e-08,1.32681277306e-07,8.86588917583e-08
98,0.898,7.88724182472e-08,1.51210883764e-07,9.42620454187e-08
99,0.899,7.79366962435e-08,1.49416956884e-07,9.81895643807e-08
100,0.901,7.70009742397e-08,1.47623030004e-07,1.03956473716e-07
101,0.902,7.60652522359e-08,1.45829103123e-07,1.09806448047e-07
102,0.903,7.51295302322e-08,1.44035176243e-07,1.17624100987e-07
103,0.904,7.41938082284e-08,1.42241249363e-07,1.25563701678e-07
104,0.905,7.32580862246e-08,1.40447322483e-07,1.33590589751e-07
105,0.906,7.23223642209e-08,1.38653395603e-07,1.45713895551e-07
106,0.907,7.13866422171e-08,1.36859468723e-07,1.60024262269e-07
107,0.908,7.04509202134e-08,1.35065541843e-07,1.91198804021e-07
108,0.909,6.95151982096e-08,1.33271614962e-07,1.99084587202e-07
109,0.91,6.85794762334e-08,1.31477688135e-07,1.96404772884e-07
110,0.911,6.76437554707e-08,1.29683763635e-07,1.93724962042e-07
111,0.912,6.67080437694e-08,1.27889856506e-07,1.9104517715e-07
112,0.913,6.5772355593e-08,1.26095994478e-07,1.88365459632e-07
113,0.914,6.48367117971e-08,1.24302217535e-07,1.85685869214e-07
114,0.915,6.3901141815e-08,1.22508582104e-07,1.83006490192e-07
115,0.916,6.29656891727e-08,1.20715171632e-07,1.8032744722e-07
116,0.917,6.20303915997e-08,1.18922058453e-07,1.77648848351e-07
117,0.918,6.10952974628e-08,1.17129335293e-07,1.74970832102e-07
118,0.919,6.01604691933e-08,1.15337121843e-07,1.72293577271e-07
119,0.92,5.92259881862e-08,1.13545574149e-07,1.69617316965e-07
120,0.921,5.82919031509e-08,1.11754785596e-07,1.66942190682e-07
121,0.922,5.73582784709e-08,1.09964879617e-07,1.64268382812e-07
122,0.923,5.64251903167e-08,1.08176002243e-07,1.61596111497e-07
123,0.924,5.54927352812e-08,1.06388338657e-07,1.58925653371e-07
124,0.925,5.45609456702e-08,1.04601950795e-07,1.56257100955e-07
125,0.926,5.36298856557e-08,1.02816961685e-07,1.53590638031e-07
126,0.927,5.26996263076e-08,1.01033507579e-07,1.50926468135e-07
127,0.928,5.17702917002e-08,9.92518263467e-08,1.48264946604e-07
128,0.929,5.07272919732e-08,9.72522311283e-08,1.45277899522e-07
129,0.93,5.00060591761e-08,9.58695139362e-08,1.43212360798e-07
130,0.931,4.92027558086e-08,9.43294544978e-08,1.40911780156e-07
131,0.932,4.8365342391e-08,9.27240007055e-08,1.38513511735e-07
132,0.933,4.75091258684e-08,9.1082498391e-08,1.36061393099e-07
133,0.934,4.66372289311e-08,8.94109342449e-08,1.33564367321e-07
134,0.935,4.57457097279e-08,8.77017511155e-08,1.31011145332e-07
135,0.936,4.4858173936e-08,8.6000204815e-08,1.28469331436e-07
136,0.937,4.39560802963e-08,8.42707488208e-08,1.25885825317e-07
137,0.938,4.305804774e-08,8.25490785648e-08,1.23313949735e-07
138,0.939,4.21496243517e-08,8.08074874427e-08,1.20712315848e-07
139,0.94,4.12454207558e-08,7.90739863299e-08,1.18122767026e-07
140,0.941,4.03376330002e-08,7.73336138153e-08,1.15522953527e-07
141,0.942,3.94331542298e-08,7.55995851487e-08,1.12932616632e-07
142,0.943,3.85236828811e-08,7.3855984921e-08,1.10327981491e-07
143,0.944,3.76177171094e-08,7.21191054382e-08,1.07733385973e-07
144,0.945,3.67125163676e-08,7.03836926384e-08,1.05140981424e-07
145,0.946,3.58069456662e-08,6.86475705677e-08,1.02547517347e-07
146,0.947,3.49041110893e-08,6.69166940799e-08,9.99618892585e-08
147,0.948,3.40015900793e-08,6.51864187493e-08,9.73771591938e-08
148,0.949,3.31007428213e-08,6.34593522655e-08,9.47972225876e-08
149,0.95,3.22016125013e-08,6.17355774233e-08,9.22222031205e-08
150,0.951,3.13042009112e-08,6.00150976577e-08,8.96521059243e-08
151,0.952,3.0408791155e-08,5.82984557238e-08,8.70877417804e-08
152,0.953,2.95153106116e-08,5.65855123955e-08,8.45289027093e-08
