,vfr,0.00,0.05,0.10,0.30,0.60
0,0.8,0.0,0.0,0.0,0.0,1.08137279847e-11
1,0.801,0.0,0.0,0.0,0.0,1.06969904879e-11
2,0.802,0.0,0.0,0.0,0.0,1.94482948246e-10
3,0.803,0.0,0.0,0.0,0.0,1.92421041827e-10
4,0.804,0.0,0.0,3.07951926546e-14,0.0,1.90384405737e-10
5,0.805,0.0,0.0,6.40801826062e-13,0.0,1.88555241987e-10
6,0.806,0.0,0.0,2.7591300128e-12,0.0,1.8672086565e-10
7,0.807,0.0,0.0,7.30944618143e-12,6.11195338762e-14,1.84904014373e-10
8,0.808,0.0,0.0,1.52096733039e-11,2.57941188559e-12,7.27595799554e-10
9,0.809,0.0,0.0,2.73593572136e-11,2.54954642184e-12,5.78011175066e-10
10,0.81,0.0,0.0,4.46544213235e-11,1.09774196109e-11,5.69915428994e-10
11,0.811,0.0,0.0,6.79700010276e-11,1.08531098624e-11,5.71734944912e-10
12,0.812,0.0,0.0,9.81794259383e-11,2.84696959999e-11,5.66770309402e-10
13,0.813,0.0,3.45109818115e-10,1.36125523408e-10,5.87202876645e-11,1.51640840037e-09
14,0.814,0.0,6.68888341802e-10,1.82681272612e-10,5.80539253501e-11,1.50190936102e-09
15,0.815,0.0,7.09195112649e-10,2.38643082434e-10,1.03735757386e-10,1.489042768e-09
16,0.816,0.0,9.11585509776e-10,3.04772021099e-10,1.68323725864e-10,1.47617617499e-09
17,0.817,0.0,1.08627473058e-09,3.81822809155e-10,1.66462308757e-10,1.50511315675e-09
18,0.818,0.0,1.28744754616e-09,4.70519348488e-10,1.7624383474e-10,2.93118246295e-09
19,0.819,0.0,1.49084204142e-09,5.70855614026e-10,1.95390405212e-10,2.90285754382e-09
20,0.82,0.0,1.72286083095e-09,4.80514985915e-10,3.2534281477e-10,3.04038827526e-09
21,0.821,0.0,1.95010308939e-09,5.84604927795e-10,3.35701905979e-10,3.01391790262e-09
22,0.822,0.0,2.16323123105e-09,7.02463292462e-10,4.73761507545e-10,2.63046587889e-09
23,0.823,0.0,2.44449721171e-09,8.34965945823e-10,6.52974343895e-10,4.64340696282e-09
24,0.824,0.0,2.70810519361e-09,9.82696357484e-10,6.45458475488e-10,4.67132552396e-09
25,0.825,0.0,2.94201723385e-09,1.14648639161e-09,8.52301952215e-10,4.6254716684e-09
26,0.826,0.0,3.25569966378e-09,1.32706793266e-09,1.09183253616e-09,4.57480801318e-09
27,0.827,0.0,3.53394369132e-09,1.52496810461e-09,1.07919611981e-09,4.72197622725e-09
28,0.828,0.0,3.83349930994e-09,1.7412331334e-09,1.35077698763e-09,7.54736891982e-09
29,0.829,0.0,4.23481704967e-09,1.97614771409e-09,1.66050320873e-09,7.48184958427e-09
30,0.83,0.0,4.58886282894e-09,2.08772451216e-09,1.6416658217e-09,7.40830404536e-09
31,0.831,0.0,4.87861194042e-09,2.35042999939e-09,1.98980118222e-09,7.44707741651e-09
32,0.832,0.0,5.28057455044e-09,2.63280368669e-09,1.96780533393e-09,7.37254388425e-09
33,0.833,0.0,5.71153219897e-09,2.9362835301e-09,2.40660686931e-09,1.11108792946e-08
34,0.834,0.0,6.0616980828e-09,3.26038450968e-09,2.57887628416e-09,1.10011162025e-08
35,0.835,0.0,6.59937856677e-09,3.60669826634e-09,2.54636068739e-09,1.0355789053e-08
36,0.836,0.0,6.21938820516e-09,3.97445494726e-09,3.07502679091e-09,1.02411462354e-08
37,0.837,0.0,6.64125404674e-09,4.36341697761e-09,3.64967916078e-09,1.01266399945e-08
38,0.838,0.0,7.21110294747e-09,4.77417381155e-09,3.60576476698e-09,1.46553010507e-08
39,0.839,0.0,7.67761858363e-09,4.44704430748e-09,4.22136862844e-09,1.46464988533e-08
40,0.84,0.0,8.1659546931e-09,4.87204279464e-09,4.85866520215e-09,1.45141732054e-08
41,0.841,0.0,8.67786403985e-09,5.32166785573e-09,4.82790124055e-09,1.43833198804e-08
42,0.842,0.0,9.21584848047e-09,5.79637115151e-09,5.51272814285e-09,1.96136165517e-08
43,0.843,0.0,9.77718212299e-09,6.29657684007e-09,6.27553726236e-09,1.9968193945e-08
44,0.844,0.0,1.03648070042e-08,6.82185550129e-09,6.20304825989e-09,1.97673407929e-08
45,0.845,0.0,1.09777012481e-08,7.37264598334e-09,7.00706034417e-09,1.95673460448e-08
46,0.846,0.0,1.16222713171e-08,7.95076804401e-09,7.92583347249e-09,2.58871608401e-08
47,0.847,0.0,1.22912425142e-08,8.55425871358e-09,7.83633266597e-09,2.58217569509e-08
48,0.848,0.0,1.29908623673e-08,9.18526313017e-09,8.88579171845e-09,2.55606497421e-08
49,0.849,0.0,1.37201732476e-08,9.84373863331e-09,9.97818019675e-09,2.53003664505e-08
50,0.85,0.0,1.42453025687e-08,1.05287448493e-08,9.87598142647e-09,3.1373578507e-08
51,0.851,0.0,1.50262085509e-08,1.12429296505e-08,1.10112344586e-08,3.10234561642e-08
52,0.852,0.0,1.58403518589e-08,1.19828023489e-08,1.13576305943e-08,3.12756502005e-08
53,0.853,0.0,1.66814732201e-08,1.27498376288e-08,1.25488115868e-08,3.91414764903e-08
54,0.854,0.0,1.72840223467e-08,1.35462891021e-08,1.23940996375e-08,3.91493684502e-08
55,0.855,0.0,1.8178310883e-08,1.43690404625e-08,1.36339571509e-08,3.87888589625e-08
56,0.856,0.0,1.91091133502e-08,1.52177524339e-08,1.48845835476e-08,3.85725599424e-08
57,0.857,0.0,2.00689273436e-08,1.60938986223e-08,1.62374127641e-08,4.7523176637e-08
58,0.858,0.0,2.0737994286e-08,1.69934021581e-08,1.60408012674e-08,4.70409276476e-08
59,0.859,0.0,2.05303270001e-08,1.79195951893e-08,1.74428710018e-08,4.65592146885e-08
60,0.86,0.0,2.15832014889e-08,1.88657541826e-08,1.90482068919e-08,5.65858366816e-08
61,0.861,0.0,2.23278706098e-08,1.98284232459e-08,2.0715722518e-08,5.6072113211e-08
62,0.862,0.0,2.34466645164e-08,1.97483554187e-08,2.05066970454e-08,6.68966009281e-08
63,0.863,0.0,2.45990814582e-08,2.07797618079e-08,2.22011924034e-08,6.65538498915e-08
64,0.864,0.0,2.57893674788e-08,2.18350162122e-08,2.39018376743e-08,6.59466147514e-08
65,0.865,0.0,2.6623068551e-08,2.29174545428e-08,2.57119088465e-08,7.71815109176e-08
66,0.866,0.0,2.78756733855e-08,2.40318721374e-08,2.75065342696e-08,7.71788825604e-08
67,0.867,0.0,2.91642184323e-08,2.59037957667e-08,2.94423996234e-08,8.71131676836e-08
68,0.868,0.0,3.0492397356e-08,2.70858715151e-08,3.13464902902e-08,8.62288276314e-08
69,0.869,0.0,3.14108179816e-08,2.82997690322e-08,3.1041483211e-08,9.84911043642e-08
70,0.87,0.0,3.27998374717e-08,2.95391690557e-08,3.29646873657e-08,1.10991582638e-07
71,0.871,0.0,3.42235360768e-08,3.08034179457e-08,3.50274705807e-08,1.09877156464e-07
72,0.872,0.0,3.56835579462e-08,3.29353727888e-08,3.71792813792e-08,1.37929850576e-07
73,0.873,0.0,3.71769322914e-08,3.4275921736e-08,3.81660229205e-08,1.66437390026e-07
74,0.874,0.0,3.87078145204e-08,3.65263249352e-08,4.04308737507e-08,1.65125686655e-07
75,0.875,0.0,4.02704934456e-08,3.79318909958e-08,4.26972812141e-08,1.63680251924e-07
76,0.876,0.0,4.18692981774e-08,3.93594776185e-08,4.50516532335e-08,1.62510222597e-07
77,0.877,0.0,4.34979177576e-08,4.17739216344e-08,4.74519828742e-08,1.61040213759e-07
78,0.878,0.0,4.51549934184e-08,4.32747169912e-08,4.98507901487e-08,1.5957020492e-07
79,0.879,0.0,4.68376620064e-08,4.58113995872e-08,5.23095995571e-08,1.58149583859e-07
80,0.88,0.0,4.85534757911e-08,4.84155829394e-08,5.47374027477e-08,1.56678674364e-07
81,0.881,0.0,5.09028476331e-08,5.00278958138e-08,6.04652803115e-08,1.55476313724e-07
82,0.882,0.0,5.26775291208e-08,5.27720568867e-08,6.30001594711e-08,1.53958125666e-07
83,0.883,0.0,5.51146305035e-08,5.55822350792e-08,6.56198664647e-08,1.52484648995e-07
84,0.884,0.0,5.69389982466e-08,5.84804990235e-08,6.83368103898e-08,1.51011172325e-07
85,0.885,0.0,5.94414644026e-08,6.14703388847e-08,7.48618430317e-08,1.49645516196e-07
86,0.886,0.0,6.19708084332e-08,6.45878638986e-08,7.77638407429e-08,1.46808730502e-07
87,0.887,0.0,6.31742410781e-08,6.91164058549e-08,8.4474295426e-08,1.45392696113e-07
88,0.888,0.0,6.65667014781e-08,7.26417883784e-08,9.12626341833e-08,1.44398503352e-07
89,0.889,0.0,6.92940316707e-08,7.56324703575e-08,9.80517213183e-08,1.42809166714e-07
90,0.89,0.0,7.27945278308e-08,7.80952754257e-08,1.05040443408e-07,1.41639278887e-07
91,0.891,0.0,7.634911282e-08,8.25225952405e-08,1.12000415631e-07,1.40175351745e-07
92,0.892,0.0,8.07260106839e-08,8.70076817081e-08,1.27342374926e-07,1.38711424603e-07
